subjectID,day,trial_index,phase,stage,conditOrder,assignedCond,trialType,rt,stimulus,time_elapsed,button_pressed,correctFurnitureSound,correctCarSound,correctKitchenSound,correctDogSound,correctInsectSound,correctClothesSound,furnitureFreq,carFreq,kitchenFreq,dogFreq,insectFreq,clothesFreq,response_type,image1,image2,image3,image4,image5,image6,sound1,sound2,sound3,internal_node_id,avg_frame_time,view_history,test_sound,answer,answerFreq,key_press,correctinstrumentSound,correctplantSound,correcttoolsSound,correctbirdSound,correctfruitSound,correctapplianceSound,instrumentFreq,plantFreq,toolsFreq,birdFreq,fruitFreq,applianceFreq,correctshipSound,correctvegetableSound,correcttimeSound,correctfishSound,correctlightSound,correctsportsSound,shipFreq,vegetableFreq,timeFreq,fishFreq,lightFreq,sportsFreq,csl_zipf_datacol,trial_type,shipInd,vegetableInd,timeInd,fishInd,lightInd,sportsInd,instrumentInd,plantInd,toolsInd,birdInd,fruitInd,applianceInd,furnitureInd,carInd,kitchenInd,dogInd,insectInd,clothesInd
NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21322.385000007,NULL,21325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-0.0,NULL,"[{"page_index":0,"viewing_time":8330.189999993308},{"page_index":1,"viewing_time":7173.0550000065705},{"page_index":2,"viewing_time":3468.7600000033854},{"page_index":3,"viewing_time":2348.84999999485",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,1,one,pre,NULL,mixed,NULL,8813.1399999984,./audio/elephant.mp3,30145,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,audio-button-response-custom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,2,1,train1,"[3,2,1]",mixed,NULL,10511.469999998,NULL,40658,NULL,./audio/gree.mp3,./audio/agen.mp3,./audio/culp.mp3,./audio/coodle.mp3,./audio/eder.mp3,./audio/hage.mp3,"[11,5,3,1]","[5,5,5,5]","[5,5,5,5]","[11,5,3,1]","[11,5,3,1]","[5,5,5,5]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-2.0,NULL,"[{"page_index":0,"viewing_time":10511.189999990165}]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[2,5,1,3,4,0]","[2,4,5,3,1,0]","[1,0,2,4,5,3]","[1,4,3,5,2,0]","[2,0,3,4,1,5]","[1,5,4,0,3,2]"
47785,02/29/2020,3,1,train1,NULL,mixed,NULL,13353.394999998,NULL,56618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/clothes/sho6.jpg,img/dishware/cup1.jpg,img/animals/dog2.jpg,NULL,NULL,NULL,./audio/coodle.mp3,./audio/culp.mp3,./audio/hage.mp3,0.0-3.0,16.702992677824,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,4,1,train1,NULL,mixed,NULL,,"<div style="font-size:60px;">+</div>",56875,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,5,1,train1,NULL,mixed,NULL,7706.3650000055,NULL,67185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/dishware/cup1.jpg,img/furniture/chair6.jpg,img/cars/car3.jpg,NULL,NULL,NULL,./audio/agen.mp3,./audio/gree.mp3,./audio/culp.mp3,0.0-5.0,16.694739482201,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,6,1,train1,NULL,mixed,NULL,,"<div style="font-size:60px;">+</div>",67440,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,7,1,train1,NULL,mixed,NULL,6066.5900000022,NULL,76109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/insects/but3.jpg,img/dishware/mug2.jpg,img/animals/dog2.jpg,NULL,NULL,NULL,./audio/culp.mp3,./audio/eder.mp3,./audio/coodle.mp3,0.0-7.0,16.700104046243,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,8,1,train1,NULL,mixed,NULL,,"<div style="font-size:60px;">+</div>",76362,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,9,1,train1,NULL,mixed,NULL,5709.7799999901,NULL,84675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/furniture/chair6.jpg,img/animals/dog5.jpg,img/clothes/sho5.jpg,NULL,NULL,NULL,./audio/gree.mp3,./audio/coodle.mp3,./audio/hage.mp3,0.0-9.0,16.667981927711,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
